id,cname,party,party_name,party_id,eu_position,eu_salience,eu_dissent,eu_benefit,eu_ep,eu_intmark,eu_cohesion,eu_foreign,eu_turkey,eu_budgets,lrgen,lrecon,lrecon_salience,galtan,galtan_salience,spendvtax,deregulation,redistribution,econ_interven,civlib_laworder,sociallifestyle,religious_principle,immigrate_policy,multiculturalism,urban_rural,environment,regions,international_security,ethnic_minorities,nationalism,antielite_salience,corrupt_salience,first_most_important,second_most_important,third_most_important
3,bel,3,ECOLO,104,strongly in favor,4,2,benefited,in favor,somewhat opposed,in favor,neutral,in favor,somewhat in favor,2,2,6,1,6,4,2,2,,3,1,1,1,1,2,1,8,7,2,2,5,6,enviornment,redistribution,social lifestyle
6,bel,3,ECOLO,104,in favor,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bel,3,ECOLO,104,in favor,2,,benefited,strongly in favor,somewhat in favor,in favor,in favor,in favor,somewhat opposed,2,2,5,1,6,2,1,fully in favour of redistribution of wealth,1,strongly promotes civil liberties,strongly supports liberal policies,3,1,1,,1,8,9,1,1,2,1,enviornment,social lifestyle,civil liberties
1,bel,3,ECOLO,104,,6,,benefited,strongly in favor,somewhat in favor,in favor,somewhat in favor,somewhat in favor,somewhat opposed,2,2,9,1,8,3,2,2,1,strongly promotes civil liberties,strongly supports liberal policies,strongly opposes religious principles in politics,3,1,1,strongly supports environ. protections,1,6,1,strongly promotes cosmopolitan concepts of society,1,extremely important,redistribution,public services vs taxes,enviornment
4,bel,3,ECOLO,104,in favor,5,2,benefited,strongly in favor,in favor,strongly in favor,in favor,somewhat in favor,in favor,2,2,8,1,6,2,2,2,2,2,1,1,2,1,4,1,9,9,1,1,5,8,enviornment,public services vs taxes,multiculturalism
3,bel,4,Groen,105,strongly in favor,4,2,benefited,in favor,somewhat opposed,in favor,neutral,in favor,somewhat in favor,2,2,6,1,6,4,2,3,,3,1,1,2,2,2,1,8,7,2,2,5,6,enviornment,urban vs rural,public services vs taxes
1,bel,4,Groen,105,in favor,6,7,benefited,strongly in favor,somewhat in favor,in favor,somewhat in favor,somewhat in favor,somewhat opposed,2,2,9,1,8,3,2,2,3,strongly promotes civil liberties,strongly supports liberal policies,strongly opposes religious principles in politics,3,1,1,strongly supports environ. protections,1,6,1,strongly promotes cosmopolitan concepts of society,1,extremely important,redistribution,public services vs taxes,enviornment
6,bel,4,Groen,105,in favor,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,bel,4,Groen,105,in favor,5,2,benefited,strongly in favor,in favor,strongly in favor,in favor,somewhat in favor,in favor,3,2,8,1,6,2,3,2,2,2,1,1,3,1,4,1,9,9,1,1,5,8,enviornment,state intervention,redistribution
2,bel,4,Groen,105,in favor,2,,benefited,strongly in favor,somewhat in favor,in favor,in favor,in favor,somewhat opposed,1,1,5,1,6,2,1,fully in favour of redistribution of wealth,1,strongly promotes civil liberties,strongly supports liberal policies,3,1,1,,1,8,9,1,1,2,1,enviornment,social lifestyle,civil liberties
5,bel,4,Groen,105,in favor,2,1,benefited,strongly in favor,in favor,,in favor,,opposed,3,3,8,2,2,2,2,2,3,2,2,2,2,2,,2,8,5,2,,2,,enviornment,public services vs taxes,redistribution
5,bel,5,MR,106,in favor,2,1,benefited,strongly in favor,strongly in favor,,in favor,,in favor,7,7,8,2,2,8,7,7,7,4,2,2,5,4,,7,8,6,5,,1,,public services vs taxes,redistribution,state intervention
1,bel,5,MR,106,in favor,great importance,,,,strongly in favor,,strongly in favor,somewhat in favor,in favor,7,8,9,4,6,8,8,8,8,4,2,strongly opposes religious principles in politics,7,6,4,6,4,3,6,4,3,6,,,
4,bel,5,MR,106,strongly in favor,4,1,benefited,strongly in favor,strongly in favor,in favor,strongly in favor,somewhat in favor,strongly in favor,7,8,9,2,2,8,9,6,7,7,1,1,7,7,5,8,9,2,5,2,1,3,deregulation,state intervention,public services vs taxes
2,bel,5,MR,106,in favor,2,,benefited,strongly in favor,in favor,in favor,strongly in favor,neutral,strongly in favor,7,7,8,3,3,9,8,6,7,6,1,1,7,9,,8,8,2,4,2,1,1,state intervention,public services vs taxes,deregulation
3,bel,5,MR,106,strongly in favor,4,2,benefited,in favor,in favor,in favor,in favor,somewhat in favor,in favor,7,8,9,4,3,7,6,6,,7,2,1,5,5,5,5,7,4,5,4,2,2,public services vs taxes,state intervention,deregulation
6,bel,5,MR,106,in favor,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,bel,6,VLD,107,strongly in favor,4,1,benefited,strongly in favor,strongly in favor,in favor,strongly in favor,somewhat in favor,strongly in favor,7,8,9,2,4,9,strongly supports deregulation,6,7,8,1,1,9,7,5,8,6,2,7,2,1,3,public services vs taxes,deregulation,state intervention
6,bel,6,VLD,107,in favor,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,bel,6,VLD,107,in favor,2,1,benefited,strongly in favor,strongly in favor,,in favor,,in favor,7,7,8,2,2,8,7,7,7,4,2,2,5,4,,7,8,6,5,,1,,public services vs taxes,redistribution,state intervention
1,bel,6,VLD,107,in favor,6,4,benefited,in favor,strongly in favor,neutral,strongly in favor,somewhat in favor,in favor,7,8,9,4,6,8,8,8,8,4,2,strongly opposes religious principles in politics,7,6,4,6,4,3,6,4,3,6,public services vs taxes,deregulation,state intervention
2,bel,6,VLD,107,strongly in favor,2,,benefited,strongly in favor,in favor,in favor,strongly in favor,neutral,strongly in favor,7,8,8,2,3,9,8,6,7,7,1,1,6,9,,8,5,2,4,2,1,1,state intervention,public services vs taxes,deregulation
3,bel,6,VLD,107,strongly in favor,4,2,benefited,in favor,in favor,in favor,in favor,somewhat in favor,in favor,7,8,9,2,3,8,7,6,,8,1,1,6,6,2,6,6,4,6,4,2,2,public services vs taxes,state intervention,urban vs rural
5,bel,7,cdH,108,in favor,2,1,benefited,strongly in favor,in favor,,in favor,,somewhat in favor,center,center,8,6,2,7,5,5,5,4,3,3,5,4,,6,8,6,5,,1,,public services vs taxes,redistribution,state intervention
1,bel,7,cdH,108,in favor,6,2,benefited,in favor,strongly in favor,somewhat in favor,strongly in favor,somewhat in favor,in favor,center,4,6,center,6,7,4,6,5,4,4,4,5,4,7,4,3,5,4,5,4,6,,,
6,bel,7,cdH,108,strongly in favor,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bel,7,cdH,108,in favor,2,,benefited,strongly in favor,in favor,in favor,strongly in favor,somewhat in favor,in favor,4,4,5,center,4,4,5,3,5,5,4,7,4,5,,5,7,3,4,4,3,1,state intervention,public services vs taxes,social lifestyle
3,bel,7,cdH,108,strongly in favor,4,2,benefited,in favor,somewhat in favor,in favor,in favor,somewhat in favor,in favor,4,4,8,4,3,4,4,3,,4,3,3,3,3,5,4,7,4,4,4,2,2,redistribution,ethnic minorities,decentralization
4,bel,7,cdH,108,strongly in favor,3,1,benefited,strongly in favor,strongly in favor,strongly in favor,in favor,neutral,strongly in favor,4,4,8,center,2,4,4,4,5,5,2,7,4,4,5,6,9,6,6,4,not important at all,3,public services vs taxes,redistribution,state intervention
6,bel,8,CD&V,109,strongly in favor,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bel,8,CD&V,109,in favor,7,2,benefited,in favor,strongly in favor,somewhat in favor,strongly in favor,somewhat in favor,in favor,7,7,7,center,6,7,6,6,6,5,5,5,7,4,7,5,3,3,5,5,4,6,public services vs taxes,redistribution,deregulation
3,bel,8,CD&V,109,strongly in favor,4,2,benefited,in favor,somewhat in favor,in favor,in favor,somewhat in favor,in favor,center,6,9,6,3,6,4,4,,5,4,4,5,6,8,4,3,3,6,6,2,2,public services vs taxes,redistribution,decentralization
5,bel,8,CD&V,109,in favor,2,1,benefited,strongly in favor,in favor,,in favor,,somewhat in favor,center,center,8,6,2,7,6,5,5,4,3,4,5,4,,6,4,6,5,,1,,public services vs taxes,redistribution,state intervention
2,bel,8,CD&V,109,strongly in favor,2,,benefited,strongly in favor,in favor,in favor,strongly in favor,somewhat in favor,in favor,center,center,5,center,4,6,5,5,5,5,4,7,4,5,,5,3,3,4,4,3,1,state intervention,public services vs taxes,social lifestyle
4,bel,8,CD&V,109,strongly in favor,5,1,benefited,strongly in favor,strongly in favor,strongly in favor,in favor,neutral,strongly in favor,center,center,8,6,2,5,5,4,5,6,3,8,6,5,7,8,3,2,6,6,not important at all,3,redistribution,public services vs taxes,deregulation
2,bel,9,N-VA,110,in favor,2,,benefited,strongly in favor,in favor,in favor,strongly in favor,somewhat opposed,somewhat in favor,8,8,5,6,,9,8,8,8,9,5,5,8,9,,8,strongly favours political decentralization,1,6,8,6,1,nationalism,multiculturalism,public services vs taxes
6,bel,9,N-VA,110,somewhat in favor,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,bel,9,N-VA,110,somewhat in favor,3,4,benefited,somewhat in favor,in favor,in favor,neutral,somewhat opposed,in favor,8,8,9,7,3,9,9,7,,9,2,2,7,8,8,7,1,4,7,9,8,6,public services vs taxes,decentralization,nationalism
5,bel,9,N-VA,110,in favor,2,1,benefited,strongly in favor,strongly in favor,,in favor,,in favor,7,7,8,center,2,8,7,7,7,5,3,2,5,5,,6,2,6,5,,3,,decentralization,public services vs taxes,redistribution
1,bel,9,N-VA,110,somewhat opposed,6,4,not benefited,somewhat opposed,in favor,neutral,in favor,neutral,in favor,9,extreme right,9,8,2,fully in favour of cutting services,9,9,9,9,6,5,9,strongly favours assimilation,6,9,6,,strongly opposes more rights for ethnic minorities,strongly promotes nationalist concepts for society,6,7,state intervention,public services vs taxes,immigration
4,bel,9,N-VA,110,somewhat in favor,2,5,benefited,strongly in favor,strongly in favor,in favor,strongly in favor,somewhat opposed,in favor,7,8,7,center,2,9,strongly supports deregulation,6,7,9,2,4,9,9,4,8,1,1,7,9,8,3,decentralization,nationalism,public services vs taxes
2,bel,10,FDF,111,in favor,2,,benefited,strongly in favor,in favor,in favor,strongly in favor,neutral,neutral,center,7,5,center,5,5,5,,5,5,3,5,3,4,,4,6,5,,2,5,1,nationalism,multiculturalism,public services vs taxes
6,bel,10,FDF,111,strongly in favor,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bel,10,FDF,111,in favor,great importance,,,,in favor,,in favor,,in favor,center,center,great importance,4,5,6,7,6,7,4,5,,5,,4,,5,5,2,4,6,6,,,
3,bel,10,FDF,111,strongly in favor,4,2,benefited,in favor,somewhat in favor,in favor,in favor,somewhat in favor,somewhat in favor,6,center,6,4,3,5,5,4,,5,2,1,4,5,2,5,3,4,5,8,7,6,anti-elite rhetoric,decentralization,
4,bel,10,FDF,111,strongly in favor,2,2,benefited,strongly in favor,in favor,in favor,strongly in favor,somewhat in favor,in favor,6,center,8,2,4,5,8,4,5,5,2,1,5,4,5,5,4,6,4,4,4,4,decentralization,nationalism,ethnic minorities
5,bel,10,FDF,111,in favor,2,1,benefited,strongly in favor,strongly in favor,,in favor,,in favor,6,6,8,center,2,7,6,6,6,3,2,2,5,4,,6,3,5,5,,1,,public services vs taxes,redistribution,state intervention
1,bel,11,VB,112,opposed,7,1,not benefited,opposed,opposed,somewhat opposed,somewhat in favor,strongly opposed,strongly opposed,extreme right,center,3,9,8,5,5,7,6,strongly supports law and order,9,5,fully supports restrictive immigration policy,strongly favours assimilation,5,strongly supports economic growth,7,8,strongly opposes more rights for ethnic minorities,strongly promotes nationalist concepts for society,extremely important,8,multiculturalism,nationalism,public services vs taxes
2,bel,11,VB,112,opposed,4,,neither benefit/lost,strongly in favor,somewhat opposed,in favor,in favor,strongly opposed,opposed,8,,3,9,8,7,7,7,7,strongly supports law and order,6,8,fully supports restrictive immigration policy,strongly favours assimilation,,7,strongly favours political decentralization,2,strongly opposes more rights for ethnic minorities,strongly promotes nationalist concepts for society,extremely important,1,nationalism,multiculturalism,immigration
6,bel,11,VB,112,strongly opposed,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,bel,11,VB,112,somewhat opposed,3,1,not benefited,somewhat in favor,somewhat opposed,,neutral,strongly opposed,somewhat opposed,9,9,8,8,2,5,4,4,4,8,7,5,8,8,,6,strongly favours political decentralization,5,8,,5,,immigration,ethnic minorities,decentralization
3,bel,11,VB,112,somewhat opposed,6,2,neither benefit/lost,somewhat in favor,somewhat in favor,in favor,somewhat in favor,strongly opposed,somewhat in favor,extreme right,4,6,9,5,5,6,4,,6,7,5,fully supports restrictive immigration policy,strongly favours assimilation,2,8,strongly favours political decentralization,3,strongly opposes more rights for ethnic minorities,strongly promotes nationalist concepts for society,extremely important,7,immigration,anti-elite rhetoric,nationalism
4,bel,11,VB,112,somewhat opposed,3,2,not benefited,strongly in favor,opposed,neutral,strongly opposed,strongly opposed,opposed,9,4,5,traditional/authoritarian,7,4,5,3,4,9,7,5,fully supports restrictive immigration policy,strongly favours assimilation,5,5,strongly favours political decentralization,6,strongly opposes more rights for ethnic minorities,strongly promotes nationalist concepts for society,extremely important,7,immigration,anti-elite rhetoric,multiculturalism
6,bel,12,PVDA,119,opposed,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,bel,12,PVDA,119,neutral,4,3,neither benefit/lost,strongly in favor,somewhat opposed,in favor,opposed,neutral,strongly opposed,1,extreme left,9,2,5,fully in favour of raising taxes for services,1,fully in favour of redistribution of wealth,fully in favour state intervention in economy,5,4,1,2,3,5,4,strongly opposes political decentralization,strongly opposes troop deployment,1,1,9,6,public services vs taxes,redistribution,ethnic minorities
1,bel,12,PVDA,119,somewhat opposed,5,2,not benefited,neutral,opposed,neutral,somewhat opposed,,strongly opposed,extreme left,extreme left,9,center,5,fully in favour of raising taxes for services,strongly opposes deregulation,fully in favour of redistribution of wealth,fully in favour state intervention in economy,,,strongly opposes religious principles in politics,4,2,1,5,,strongly opposes troop deployment,3,,extremely important,extremely important,redistribution,state intervention,public services vs taxes
5,bel,12,PVDA,119,somewhat opposed,3,1,not benefited,somewhat in favor,strongly opposed,,opposed,,strongly opposed,1,1,8,2,2,1,1,1,1,1,2,2,2,2,,6,strongly opposes political decentralization,3,2,,5,,state intervention,redistribution,public services vs taxes
3,bel,12,PVDA,119,somewhat in favor,3,2,neither benefit/lost,somewhat in favor,strongly opposed,in favor,somewhat opposed,in favor,somewhat opposed,extreme left,extreme left,9,4,3,fully in favour of raising taxes for services,strongly opposes deregulation,fully in favour of redistribution of wealth,,strongly promotes civil liberties,2,1,fully opposed to restrictive immigration policy,strongly favours multiculturalism,2,5,9,7,1,1,9,7,redistribution,state intervention,anti-elite rhetoric
2,bel,12,PVDA,119,opposed,3,,neither benefit/lost,strongly in favor,somewhat opposed,in favor,,in favor,opposed,extreme left,extreme left,8,1,7,fully in favour of raising taxes for services,strongly opposes deregulation,fully in favour of redistribution of wealth,fully in favour state intervention in economy,2,1,strongly opposes religious principles in politics,1,1,,3,8,9,1,1,9,1,state intervention,public services vs taxes,deregulation
3,bel,13,PP,120,,4,,,,,,,,,9,,6,,3,,,,,,,,,,,,,,,,,7,,,
6,bel,13,PP,120,opposed,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,bel,13,PP,120,,1,,,,,,,,,6,,great importance,,great importance,,,,,,,,,,,,,,,,,,,,
2,bel,13,PP,120,,great importance,,,strongly in favor,,,,,,,,great importance,,great importance,,,,,,,,,,,,,,,,,1,anti-elite rhetoric,,
1,bel,13,PP,120,opposed,6,2,not benefited,opposed,opposed,somewhat opposed,,opposed,strongly opposed,8,9,great importance,7,6,9,9,9,9,9,7,,9,strongly favours assimilation,6,9,7,,strongly opposes more rights for ethnic minorities,strongly promotes nationalist concepts for society,8,8,,,
5,bel,13,PP,120,somewhat opposed,3,1,not benefited,somewhat in favor,opposed,,neutral,,somewhat opposed,8,8,8,8,2,5,5,4,5,8,7,2,8,8,,6,strongly opposes political decentralization,6,8,,5,,immigration,ethnic minorities,corruption
4,den,1,SD,201,in favor,1,3,benefited,,somewhat in favor,somewhat opposed,in favor,neutral,somewhat in favor,center,center,8,center,1,5,4,4,4,5,4,,5,5,5,4,5,5,5,5,1,not important at all,public services vs taxes,redistribution,enviornment
1,den,1,SD,201,in favor,5,3,benefited,neutral,in favor,somewhat in favor,somewhat in favor,neutral,somewhat in favor,6,center,5,center,4,6,4,5,4,5,2,3,6,6,3,5,5,3,,6,3,6,,,
6,den,1,SD,201,in favor,5,2,benefited,in favor,in favor,,strongly in favor,somewhat in favor,somewhat in favor,center,3,9,center,5,4,,2,3,5,2,1,6,4,2,3,6,1,,3,2,not important at all,,,
11,den,1,SD,201,strongly in favor,5,party was completely united,benefited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,den,1,SD,201,somewhat in favor,4,3,benefited,,,,,,somewhat in favor,6,6,7,4,2,6,4,4,4,5,4,5,6,6,5,4,,3,6,5,1,1,public services vs taxes,redistribution,state intervention
10,den,1,SD,201,somewhat in favor,2,7,benefited,in favor,somewhat in favor,,neutral,neutral,neutral,3,3,6,center,6,4,4,3,3,6,5,3,5,7,4,7,4,4,5,7,6,7,public services vs taxes,state intervention,nationalism
9,den,1,SD,201,in favor,2,6,benefited,in favor,somewhat in favor,somewhat in favor,somewhat in favor,somewhat opposed,somewhat in favor,3,3,7,6,7,4,4,3,4,6,4,4,6,6,3,4,6,4,6,4,3,1,redistribution,public services vs taxes,multiculturalism
2,den,1,SD,201,in favor,7,7,benefited,in favor,somewhat in favor,somewhat in favor,in favor,somewhat in favor,somewhat in favor,4,4,great importance,6,6,3,5,3,2,4,2,2,4,4,4,4,3,3,3,4,1,6,public services vs taxes,redistribution,enviornment
5,den,1,SD,201,in favor,6,4,benefited,somewhat in favor,in favor,in favor,in favor,somewhat in favor,somewhat in favor,4,4,6,center,5,3,4,,4,5,4,2,6,6,5,4,6,3,5,5,2,not important at all,public services vs taxes,redistribution,immigration
7,den,1,SD,201,in favor,5,3,benefited,,,,in favor,,,center,3,,7,,3,,,4,6,2,2,6,7,,,,,6,6,6,not important at all,public services vs taxes,immigration,
3,den,1,SD,201,strongly in favor,7,3,benefited,strongly in favor,in favor,,strongly in favor,,in favor,3,3,8,4,5,3,4,2,1,,strongly supports liberal policies,2,5,3,4,3,,3,4,3,3,2,redistribution,public services vs taxes,state intervention
10,den,2,RV,202,strongly in favor,8,1,benefited,in favor,strongly in favor,,strongly in favor,in favor,in favor,center,7,7,1,8,7,7,6,5,,1,2,1,strongly favours multiculturalism,4,1,4,6,5,2,2,7,civil liberties,multiculturalism,social lifestyle
5,den,2,RV,202,strongly in favor,9,party was completely united,benefited,strongly in favor,strongly in favor,strongly in favor,strongly in favor,strongly in favor,strongly in favor,center,7,6,libertarian/postmaterialist,8,5,6,,6,2,strongly supports liberal policies,strongly opposes religious principles in politics,1,1,2,2,3,4,1,strongly promotes cosmopolitan concepts of society,not important at all,not important at all,multiculturalism,civil liberties,public services vs taxes
11,den,2,RV,202,strongly in favor,7,party was completely united,benefited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,den,2,RV,202,strongly in favor,great importance,party was completely united,benefited,in favor,strongly in favor,in favor,strongly in favor,in favor,in favor,6,7,great importance,1,great importance,6,6,5,4,1,strongly supports liberal policies,strongly opposes religious principles in politics,1,1,1,1,1,3,1,strongly promotes cosmopolitan concepts of society,not important at all,5,EU integration,civil liberties,public services vs taxes
1,den,2,RV,202,strongly in favor,9,1,benefited,in favor,strongly in favor,somewhat in favor,strongly in favor,in favor,strongly in favor,7,center,7,3,8,7,5,7,5,3,1,1,3,2,1,4,5,3,,3,2,7,,,
9,den,2,RV,202,strongly in favor,2,2,benefited,in favor,in favor,somewhat in favor,somewhat opposed,somewhat in favor,somewhat in favor,center,7,7,2,7,6,6,5,6,4,3,3,3,3,3,4,3,7,3,3,2,1,public services vs taxes,redistribution,multiculturalism
3,den,2,RV,202,strongly in favor,7,1,benefited,strongly in favor,strongly in favor,,strongly in favor,,in favor,center,6,8,2,7,6,7,4,3,,strongly supports liberal policies,1,2,2,3,2,,4,2,2,3,2,public services vs taxes,social lifestyle,enviornment
8,den,2,RV,202,strongly in favor,3,3,benefited,,,,,,somewhat in favor,6,6,8,2,3,6,6,5,,3,3,7,4,4,3,5,,3,4,4,1,1,public services vs taxes,redistribution,state intervention
6,den,2,RV,202,strongly in favor,6,1,benefited,in favor,strongly in favor,,strongly in favor,in favor,in favor,6,7,great importance,2,5,6,,4,4,4,strongly supports liberal policies,strongly opposes religious principles in politics,3,2,3,4,6,1,,strongly promotes cosmopolitan concepts of society,not important at all,not important at all,,,
4,den,2,RV,202,strongly in favor,1,3,benefited,,in favor,somewhat opposed,in favor,neutral,somewhat in favor,6,7,8,3,2,7,5,6,5,4,4,,4,4,5,4,5,5,4,4,1,not important at all,deregulation,public services vs taxes,enviornment
7,den,2,RV,202,strongly in favor,7,party was completely united,benefited,,,,strongly in favor,,,6,6,,3,,5,,,6,4,strongly supports liberal policies,2,4,2,,,,,4,2,not important at all,not important at all,,,
5,den,3,KF,203,in favor,6,3,benefited,somewhat in favor,strongly in favor,in favor,in favor,somewhat in favor,somewhat in favor,6,7,8,6,6,7,7,,8,7,4,6,6,6,5,6,3,2,6,6,2,not important at all,public services vs taxes,state intervention,civil liberties
6,den,3,KF,203,somewhat in favor,5,2,neither benefit/lost,in favor,strongly in favor,,somewhat in favor,somewhat opposed,somewhat opposed,7,8,9,7,6,8,,6,6,7,4,3,7,8,6,6,5,strongly supports troop deployment,,8,2,not important at all,,,
4,den,3,KF,203,in favor,1,3,benefited,,in favor,somewhat opposed,somewhat in favor,neutral,somewhat in favor,7,8,8,7,2,8,6,7,6,7,7,,7,7,5,7,6,4,7,7,1,not important at all,public services vs taxes,deregulation,nationalism
11,den,3,KF,203,in favor,4,4,benefited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,den,3,KF,203,somewhat in favor,5,6,benefited,somewhat opposed,in favor,neutral,in favor,somewhat opposed,somewhat in favor,8,8,8,8,5,9,7,8,7,9,3,4,8,8,5,8,5,1,,8,4,4,,,
9,den,3,KF,203,somewhat in favor,2,7,benefited,neutral,in favor,somewhat in favor,somewhat in favor,somewhat opposed,somewhat in favor,7,8,7,7,6,7,7,6,7,6,6,6,7,7,7,7,4,2,7,7,6,1,public services vs taxes,redistribution,nationalism
7,den,3,KF,203,in favor,5,,benefited,,,,,,,7,9,,8,,8,,,8,8,4,2,8,8,,,,,8,8,not important at all,not important at all,,,
8,den,3,KF,203,,2,,,,,,,,,8,8,7,6,2,8,8,7,7,8,7,7,8,8,5,7,,3,7,6,1,1,public services vs taxes,redistribution,state intervention
10,den,3,KF,203,somewhat in favor,4,3,benefited,in favor,in favor,,in favor,neutral,neutral,7,7,6,9,8,7,6,7,4,8,8,8,8,strongly favours assimilation,4,7,5,1,5,8,5,7,nationalism,multiculturalism,public services vs taxes
3,den,3,KF,203,in favor,6,3,benefited,somewhat in favor,strongly in favor,,in favor,,in favor,8,8,8,7,5,8,8,8,5,,3,6,8,7,3,7,,1,7,7,3,2,public services vs taxes,international security,nationalism
2,den,3,KF,203,somewhat in favor,5,,benefited,neutral,,,,,,center,center,,7,4,5,4,5,5,5,7,9,4,4,7,5,,4,4,6,1,6,social lifestyle,,
11,den,4,SF,206,somewhat in favor,5,3,benefited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,den,4,SF,206,somewhat in favor,6,7,benefited,strongly in favor,neutral,,neutral,,somewhat opposed,2,2,8,1,8,1,3,1,1,,strongly supports liberal policies,1,1,strongly favours multiculturalism,3,1,,7,strongly supports more rights for ethnic minorities,1,3,2,redistribution,multiculturalism,enviornment
4,den,4,SF,206,somewhat in favor,2,3,neither benefit/lost,,somewhat in favor,somewhat opposed,somewhat in favor,neutral,neutral,3,3,7,3,1,3,3,3,2,3,4,,3,3,5,3,4,6,3,3,1,not important at all,public services vs taxes,enviornment,redistribution
9,den,4,SF,206,somewhat in favor,3,5,neither benefit/lost,in favor,somewhat opposed,neutral,somewhat opposed,somewhat opposed,opposed,2,2,6,2,7,3,3,2,2,3,2,2,4,2,3,3,3,7,4,4,2,1,redistribution,enviornment,multiculturalism
5,den,4,SF,206,somewhat in favor,5,3,benefited,neutral,somewhat in favor,somewhat in favor,neutral,neutral,neutral,2,2,7,3,4,2,2,,1,3,2,1,4,4,3,1,6,6,3,3,4,not important at all,redistribution,public services vs taxes,enviornment
